Employee categories,,,,,,,Payroll Cost Breakdown,,,Payroll found,,Payroll WHP,,Payroll PDL,,,,,Employee Performance,,,,,,,,,,Planned Payroll,,,,,,Actual Payroll ,,,,,,Top 5 Employees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KPI's,,,,,,Compensation,,,,,,,,,,,,,,,,Bonus,,,,,Base salary,,,,
2022,October,"$541,029 ","$2,369,454 ","$3,115,092 ","$3,578,464 ","$906,963 ",70%,6%,24%,"$81,111 ","$973,332 ",92%,99%,27%,17%,18%,6%,14%,75%,77%,98%,64%,91%,89%,90%,78%,83%,71%,"$2,626 ","$4,435 ","$4,019 ","$4,345 ","$2,367 ","$1,618 ","$4,891 ","$4,532 ","$2,486 ","$4,008 ","$3,066 ","$1,471 ","$3,040 ","$3,899 ","$4,488 ","$2,584 ","$3,235 ","$9,083 ","$13,548 ","$11,258 ","$12,009 ","$13,733 "
2022,November,"$756,252 ","$1,553,776 ","$3,012,227 ","$5,883,436 ","$1,827,062 ",66%,18%,17%,"$116,982 ","$1,403,784 ",87%,85%,31%,24%,11%,14%,14%,83%,68%,74%,69%,51%,56%,76%,72%,61%,54%,"$4,510 ","$1,738 ","$1,602 ","$1,427 ","$2,932 ","$2,953 ","$4,219 ","$1,143 ","$3,019 ","$4,857 ","$3,300 ","$1,346 ","$4,239 ","$2,491 ","$1,392 ","$1,185 ",$761 ,"$3,484 ","$14,591 ","$11,322 ","$8,224 ","$5,051 "
2022,December,"$1,362,057 ","$1,013,729 ","$2,193,439 ","$3,377,941 ","$613,907 ",57%,19%,23%,"$102,993 ","$1,235,916 ",91%,91%,26%,26%,15%,9%,11%,75%,81%,74%,61%,66%,92%,86%,64%,76%,55%,"$1,256 ","$2,927 ","$1,296 ","$4,040 ","$4,565 ","$3,090 ","$2,787 ","$1,665 ","$1,432 ","$3,225 ","$3,849 ","$4,952 ","$2,516 ","$2,427 ","$3,579 ","$4,652 ","$1,037 ","$13,562 ","$8,616 ","$11,625 ","$13,187 ","$9,955 "
2023,January,"$633,377 ","$1,753,135 ","$4,918,027 ","$3,546,548 ","$1,858,764 ",51%,25%,23%,"$131,097 ","$1,573,164 ",95%,79%,34%,27%,16%,12%,14%,57%,70%,77%,99%,98%,85%,63%,53%,58%,69%,"$3,411 ","$3,995 ","$2,344 ","$1,078 ","$4,519 ","$3,146 ","$2,198 ","$1,969 ","$4,667 ","$3,940 ","$2,563 ","$1,982 ","$2,231 ","$4,260 ","$2,146 ","$2,517 ","$3,046 ","$6,736 ","$11,690 ","$10,327 ","$10,368 ","$10,214 "
2023,February,"$1,428,083 ","$2,930,018 ","$2,684,624 ","$6,593,593 ","$1,557,176 ",65%,18%,17%,"$83,613 ","$1,003,356 ",85%,81%,30%,24%,18%,12%,11%,60%,81%,72%,51%,59%,92%,52%,77%,72%,81%,"$2,515 ","$2,592 ","$4,340 ","$4,800 ","$3,487 ","$1,021 ","$2,592 ","$1,234 ","$1,538 ","$2,308 ","$2,499 ","$3,142 ","$4,382 ","$2,743 ","$3,900 ","$2,871 ","$4,621 ","$14,792 ","$3,927 ","$5,429 ","$14,410 ","$12,964 "
2023,March,"$522,499 ","$2,197,405 ","$3,177,592 ","$3,052,389 ","$1,972,714 ",65%,11%,25%,"$55,963 ","$671,556 ",92%,81%,21%,21%,23%,12%,17%,60%,86%,69%,86%,59%,96%,75%,52%,55%,89%,"$3,982 ","$3,431 ","$2,866 ","$3,907 ","$4,997 ","$2,979 ","$2,787 ","$2,464 ","$3,622 ","$4,830 ","$3,173 ","$4,031 ","$1,736 ","$2,873 ","$4,869 ",$981 ,"$2,259 ","$12,397 ","$6,081 ","$7,470 ","$5,864 ","$6,668 "
2023,April,"$1,141,529 ","$2,508,140 ","$4,400,952 ","$3,999,666 ","$1,220,187 ",55%,25%,20%,"$108,810 ","$1,305,720 ",84%,79%,32%,23%,20%,8%,10%,90%,68%,89%,66%,81%,74%,95%,78%,71%,58%,"$2,586 ","$3,900 ","$4,797 ","$4,561 ","$1,622 ","$3,546 ","$4,027 ","$2,864 ","$3,754 ","$4,684 ","$3,810 ","$3,089 ",$654 ,$938 ,"$4,529 ","$3,992 ","$3,442 ","$12,358 ","$7,263 ","$9,601 ","$7,884 ","$3,173 "
2023,May,"$1,362,188 ","$2,753,466 ","$4,430,373 ","$5,801,250 ","$1,121,465 ",51%,27%,22%,"$131,940 ","$1,583,280 ",88%,100%,21%,22%,21%,14%,9%,78%,91%,54%,69%,52%,55%,51%,53%,64%,77%,"$1,529 ","$4,771 ","$4,386 ","$4,221 ","$3,788 ","$2,984 ","$4,504 ","$3,426 ","$4,504 ","$4,957 ","$4,192 ","$3,535 ","$1,242 ","$1,284 ","$1,728 ","$2,231 ","$3,038 ","$3,369 ","$12,054 ","$7,994 ","$4,765 ","$5,689 "
2023,June,"$661,867 ","$1,275,974 ","$3,400,569 ","$5,172,743 ","$1,385,829 ",66%,13%,21%,"$116,015 ","$1,392,180 ",82%,98%,28%,17%,23%,8%,14%,90%,83%,60%,73%,88%,54%,53%,66%,70%,91%,"$4,931 ","$4,760 ","$2,691 ","$2,774 ","$4,675 ","$3,348 ","$4,884 ","$1,576 ","$1,320 ","$1,456 ","$3,347 ","$4,482 ","$2,235 ",$750 ,"$3,821 ","$3,031 ","$4,121 ","$6,872 ","$8,712 ","$14,743 ","$9,951 ","$8,338 "
2023,July,"$877,356 ","$1,407,326 ","$4,209,455 ","$4,712,478 ","$1,349,067 ",58%,23%,19%,"$50,898 ","$610,776 ",87%,81%,25%,19%,15%,8%,10%,92%,56%,52%,94%,93%,56%,82%,99%,91%,56%,"$1,588 ","$1,047 ","$1,127 ","$4,008 ","$4,786 ","$1,092 ","$2,064 ","$3,023 ","$4,686 ","$3,502 ","$1,023 ","$3,395 ","$4,329 ",$986 ,"$2,531 ",$982 ,"$2,636 ","$11,297 ","$6,293 ","$12,841 ","$11,441 ","$14,771 "
2023,August,"$830,101 ","$1,046,037 ","$3,067,315 ","$6,023,667 ","$1,495,140 ",57%,21%,22%,"$89,415 ","$1,072,980 ",93%,97%,34%,16%,25%,10%,10%,54%,74%,72%,94%,94%,64%,57%,83%,57%,92%,"$3,614 ","$4,620 ","$3,096 ","$2,222 ","$3,447 ","$4,023 ","$3,075 ","$4,630 ","$4,243 ","$1,582 ","$1,634 ","$4,921 ",$967 ,"$1,481 ","$2,345 ","$4,419 ","$4,100 ","$6,981 ","$12,883 ","$11,819 ","$9,395 ","$10,235 "
2023,September,"$1,258,474 ","$1,280,405 ","$3,240,515 ","$4,258,567 ","$510,230 ",58%,27%,15%,"$90,235 ","$1,082,820 ",89%,85%,31%,28%,14%,11%,18%,90%,63%,61%,71%,88%,89%,100%,50%,93%,91%,"$1,740 ","$4,503 ","$3,468 ","$2,532 ","$2,640 ","$2,878 ","$2,453 ","$3,168 ","$1,230 ","$2,944 ","$2,967 ","$3,511 ","$4,712 ","$1,962 ","$3,329 ","$1,198 ","$2,887 ","$5,749 ","$7,474 ","$14,745 ","$11,571 ","$10,075 "
2023,October,"$831,154 ","$2,515,587 ","$2,808,736 ","$3,921,490 ","$1,977,455 ",59%,17%,24%,"$83,709 ","$1,004,508 ",92%,76%,23%,22%,10%,5%,8%,96%,79%,91%,66%,92%,66%,90%,95%,57%,69%,"$2,622 ","$2,874 ","$1,152 ","$4,674 ","$4,748 ","$3,165 ","$2,146 ","$4,542 ","$1,210 ","$4,979 ","$4,869 ","$3,961 ",$864 ,"$1,968 ",$528 ,"$2,901 ","$4,340 ","$10,978 ","$5,781 ","$6,042 ","$7,356 ","$14,504 "
2023,November,"$1,444,340 ","$1,579,778 ","$3,711,683 ","$4,611,837 ","$1,944,345 ",70%,12%,18%,"$85,554 ","$1,026,648 ",82%,88%,36%,22%,22%,13%,19%,71%,78%,62%,64%,88%,84%,82%,68%,77%,63%,"$4,265 ","$4,558 ","$4,853 ","$3,434 ","$3,968 ","$2,187 ","$3,309 ","$2,757 ","$3,926 ","$1,584 ","$3,522 ","$3,371 ","$1,899 ","$3,317 ","$3,334 ","$2,308 ","$3,508 ","$8,966 ","$11,802 ","$14,936 ","$9,985 ","$3,967 "
2023,December,"$806,318 ","$2,563,312 ","$3,454,900 ","$5,412,398 ","$1,010,199 ",57%,18%,25%,"$103,326 ","$1,239,912 ",92%,94%,36%,28%,21%,10%,9%,89%,61%,59%,87%,86%,63%,89%,60%,53%,92%,"$2,716 ","$4,197 ","$3,037 ","$3,912 ","$1,851 ","$2,379 ","$1,796 ","$1,225 ","$3,418 ","$2,046 ","$1,068 ","$1,442 ","$3,486 ",$872 ,"$4,541 ","$3,222 ","$1,393 ","$9,873 ","$14,300 ","$13,205 ","$6,858 ","$5,775 "
2024,January,"$519,636 ","$1,716,422 ","$4,668,960 ","$5,614,001 ","$845,722 ",67%,11%,23%,"$74,534 ","$894,408 ",98%,94%,38%,21%,16%,8%,19%,75%,79%,88%,86%,65%,67%,65%,68%,61%,70%,"$2,358 ","$3,668 ","$2,228 ","$4,000 ","$4,185 ","$3,157 ","$1,539 ","$1,777 ","$3,592 ","$4,696 ","$4,809 ","$1,569 ",$712 ,"$1,041 ","$3,296 ","$1,206 ","$4,661 ","$9,027 ","$8,861 ","$12,428 ","$10,727 ","$5,454 "
2024,February,"$649,367 ","$2,044,742 ","$4,911,823 ","$6,675,311 ","$879,240 ",56%,23%,21%,"$149,453 ","$1,793,436 ",94%,81%,39%,23%,12%,11%,6%,99%,68%,87%,64%,55%,70%,78%,71%,80%,99%,"$3,574 ","$2,419 ","$3,548 ","$3,020 ","$4,209 ","$2,401 ","$2,438 ","$2,157 ","$2,130 ","$2,153 ","$2,223 ","$3,657 ","$1,627 ","$1,885 ","$1,574 ","$4,671 ","$2,657 ","$8,272 ","$5,333 ","$4,732 ","$7,518 ","$4,737 "
2024,March,"$929,678 ","$2,165,244 ","$2,094,757 ","$3,554,790 ","$1,023,490 ",68%,12%,20%,"$130,782 ","$1,569,384 ",80%,80%,35%,17%,18%,7%,12%,53%,100%,66%,83%,92%,88%,74%,87%,98%,81%,"$3,281 ","$2,082 ","$3,973 ","$4,149 ","$4,093 ","$2,521 ","$4,003 ","$3,358 ","$2,085 ","$1,281 ","$4,760 ","$3,771 ","$3,988 ","$1,556 ","$3,391 ","$1,900 ","$1,743 ","$11,020 ","$13,301 ","$4,081 ","$14,871 ","$13,098 "
2024,April,"$1,105,292 ","$2,758,213 ","$4,394,420 ","$4,691,445 ","$1,075,469 ",59%,22%,19%,"$69,492 ","$833,904 ",98%,95%,39%,26%,13%,12%,16%,79%,54%,99%,72%,69%,69%,56%,67%,83%,53%,"$2,516 ","$4,393 ","$4,487 ","$2,904 ","$3,414 ","$1,408 ","$3,712 ","$1,666 ","$4,763 ","$3,514 ","$4,624 ","$4,254 ","$1,552 ","$1,159 ","$3,731 ","$1,198 ","$1,721 ","$5,642 ","$4,371 ","$11,345 ","$11,875 ","$7,525 "
2024,May,"$700,524 ","$2,399,004 ","$2,484,441 ","$3,380,631 ","$506,326 ",61%,20%,19%,"$104,985 ","$1,259,820 ",80%,93%,37%,24%,11%,15%,19%,100%,98%,100%,79%,65%,68%,91%,81%,84%,77%,"$1,440 ","$1,341 ","$2,870 ","$1,933 ","$3,205 ","$4,568 ","$1,829 ","$3,812 ","$3,830 ","$4,295 ","$1,417 ","$3,522 ","$1,113 ","$2,858 ","$4,922 ",$587 ,"$4,745 ","$6,824 ","$12,122 ","$13,422 ","$10,761 ","$7,462 "
2024,June,"$683,350 ","$2,628,053 ","$4,507,951 ","$5,023,992 ","$986,141 ",54%,22%,24%,"$62,797 ","$753,564 ",94%,85%,29%,22%,21%,6%,5%,83%,78%,55%,65%,90%,94%,99%,96%,63%,87%,"$4,852 ","$4,391 ","$3,723 ","$2,539 ","$2,135 ","$3,425 ","$4,086 ","$1,600 ","$3,210 ","$1,803 ","$2,695 ","$2,411 ","$1,033 ",$546 ,"$1,152 ","$1,093 ","$2,982 ","$4,754 ","$12,360 ","$14,583 ","$12,342 ","$14,364 "
2024,July,"$665,884 ","$1,551,725 ","$4,151,891 ","$6,389,947 ","$1,466,863 ",52%,28%,20%,"$131,664 ","$1,579,968 ",92%,99%,38%,25%,24%,12%,18%,95%,94%,51%,67%,98%,86%,96%,53%,90%,71%,"$3,727 ","$1,211 ","$2,696 ","$4,051 ","$4,250 ","$1,915 ","$1,784 ","$4,917 ","$4,227 ","$4,415 ","$3,101 ","$4,841 ",$916 ,"$4,051 ","$2,565 ","$2,821 ",$945 ,"$13,562 ","$13,062 ","$10,576 ","$8,636 ","$7,324 "
2024,August,"$1,011,211 ","$1,992,222 ","$3,906,849 ","$4,677,265 ","$1,799,829 ",66%,10%,24%,"$98,450 ","$1,181,400 ",80%,99%,27%,19%,21%,7%,9%,77%,69%,73%,84%,97%,63%,65%,71%,53%,72%,"$3,362 ","$2,483 ","$2,526 ","$1,452 ","$4,591 ","$2,407 ","$4,270 ","$4,573 ","$4,180 ","$4,711 ","$3,930 ","$2,607 ","$3,417 ","$4,799 ","$2,807 ","$4,846 ","$1,157 ","$5,916 ","$8,541 ","$10,747 ","$11,151 ","$10,333 "
2024,September,"$638,966 ","$2,904,033 ","$3,565,552 ","$4,842,148 ","$1,726,726 ",64%,14%,22%,"$91,013 ","$1,092,156 ",87%,91%,36%,21%,15%,7%,9%,74%,88%,88%,70%,61%,82%,68%,90%,78%,77%,"$4,101 ","$2,755 ","$3,696 ","$1,842 ","$2,870 ","$4,653 ","$2,809 ","$2,929 ","$3,162 ","$1,086 ","$2,380 ","$4,229 ","$1,452 ","$1,801 ","$2,598 ","$2,037 ","$1,978 ","$6,143 ","$6,639 ","$7,842 ","$9,506 ","$4,931 "
2024,October,"$900,992 ","$2,538,608 ","$2,823,061 ","$3,530,586 ","$1,524,928 ",51%,30%,19%,"$59,567 ","$714,804 ",83%,78%,39%,17%,19%,15%,17%,99%,54%,87%,81%,82%,77%,71%,73%,100%,93%,"$2,441 ","$2,468 ","$3,945 ","$2,390 ","$4,473 ","$2,165 ","$4,127 ","$2,781 ","$2,501 ","$3,638 ","$1,387 ","$4,187 ","$3,854 ","$4,468 ","$3,157 ","$4,997 ","$2,860 ","$14,898 ","$12,606 ","$12,971 ","$6,747 ","$10,724 "
2024,November,"$1,404,580 ","$1,729,047 ","$3,797,990 ","$3,462,105 ","$880,334 ",50%,30%,20%,"$51,585 ","$619,020 ",98%,86%,37%,29%,23%,7%,15%,73%,69%,63%,99%,94%,89%,79%,95%,89%,70%,"$3,967 ","$1,758 ","$3,839 ","$3,109 ","$2,109 ","$3,831 ","$2,607 ","$2,750 ","$3,529 ","$4,512 ","$3,244 ","$3,750 ","$1,861 ","$3,914 ","$1,076 ",$686 ,"$4,097 ","$10,997 ","$6,673 ","$8,780 ","$13,639 ","$4,154 "
2024,December,"$1,358,547 ","$2,808,176 ","$4,348,891 ","$4,182,959 ","$1,679,646 ",67%,10%,23%,"$136,169 ","$1,634,028 ",90%,89%,35%,29%,16%,9%,11%,67%,81%,61%,63%,83%,63%,79%,72%,58%,79%,"$4,509 ","$2,304 ","$3,836 ","$4,495 ","$1,348 ","$3,933 ","$3,901 ","$2,775 ","$1,957 ","$3,306 ","$1,961 ","$1,784 ","$3,680 ","$3,834 ","$2,330 ",$941 ,"$4,230 ","$10,783 ","$6,676 ","$9,915 ","$7,360 ","$12,983 "
2025,January,"$951,228 ","$2,606,916 ","$2,883,338 ","$4,621,310 ","$1,150,888 ",53%,32%,15%,"$60,741 ","$728,892 ",81%,77%,24%,24%,16%,7%,11%,85%,57%,52%,89%,76%,54%,58%,76%,74%,75%,"$3,651 ","$4,098 ","$2,749 ","$2,151 ","$1,821 ","$2,141 ","$3,441 ","$2,620 ","$1,894 ","$1,254 ","$3,504 ","$1,200 ","$1,978 ","$1,880 ","$1,385 ","$1,831 ","$2,343 ","$7,917 ","$4,919 ","$11,383 ","$10,206 ","$10,777 "
2025,February,"$1,046,448 ","$2,232,272 ","$2,160,692 ","$3,075,777 ","$1,802,799 ",54%,30%,16%,"$63,646 ","$763,752 ",93%,85%,32%,22%,16%,14%,16%,51%,79%,52%,51%,96%,75%,72%,83%,67%,75%,"$1,661 ","$3,733 ","$3,032 ","$3,930 ","$2,952 ","$1,094 ","$4,448 ","$1,586 ","$2,530 ","$4,484 ","$4,216 ","$2,196 ","$1,063 ","$3,200 ","$1,038 ",$780 ,$550 ,"$10,546 ","$9,809 ","$5,611 ","$7,377 ","$7,071 "
2025,March,"$914,056 ","$2,760,517 ","$2,001,082 ","$6,336,177 ","$887,204 ",61%,18%,22%,"$59,820 ","$717,840 ",100%,94%,21%,20%,19%,8%,17%,53%,100%,70%,57%,81%,67%,63%,87%,74%,60%,"$2,277 ","$3,935 ","$2,101 ","$4,337 ","$3,828 ","$4,436 ","$2,392 ","$3,087 ","$4,328 ","$1,464 ","$3,563 ","$3,211 ","$2,624 ","$2,709 ","$2,048 ","$3,728 ","$2,755 ","$4,059 ","$3,478 ","$3,350 ","$5,927 ","$4,749 "
2025,April,"$1,343,251 ","$2,196,521 ","$4,029,074 ","$5,731,528 ","$1,936,681 ",69%,9%,22%,"$110,530 ","$1,326,360 ",99%,82%,25%,28%,24%,13%,5%,93%,57%,62%,50%,96%,68%,68%,83%,71%,99%,"$4,317 ","$1,061 ","$3,461 ","$1,447 ","$3,214 ","$4,017 ","$4,134 ","$2,146 ","$3,650 ","$4,812 ","$3,906 ","$2,854 ","$4,341 ","$2,256 ","$3,909 ",$947 ,$726 ,"$6,050 ","$8,523 ","$9,810 ","$8,450 ","$13,885 "
2025,May,"$916,569 ","$2,327,763 ","$3,969,242 ","$5,662,400 ","$603,702 ",67%,10%,23%,"$82,784 ","$993,408 ",85%,76%,29%,17%,18%,11%,20%,99%,90%,60%,93%,80%,88%,90%,61%,80%,94%,"$3,986 ","$1,547 ","$3,978 ","$2,054 ","$2,734 ","$2,551 ","$3,865 ","$2,797 ","$3,218 ","$3,286 ","$1,112 ","$4,201 ","$3,939 ","$4,947 ","$2,054 ","$4,875 ","$1,948 ","$13,982 ","$5,006 ","$11,397 ","$3,925 ","$14,857 "
2025,June,"$868,384 ","$1,042,254 ","$2,851,891 ","$5,447,432 ","$924,145 ",51%,32%,17%,"$59,741 ","$716,892 ",89%,98%,22%,18%,11%,10%,19%,60%,53%,63%,51%,86%,77%,97%,85%,99%,65%,"$4,238 ","$4,786 ","$4,745 ","$4,478 ","$4,747 ","$3,897 ","$3,866 ","$4,656 ","$3,318 ","$1,968 ","$2,116 ","$1,661 ","$4,738 ","$3,938 ","$3,603 ","$1,539 ","$4,015 ","$6,435 ","$12,014 ","$12,304 ","$11,569 ","$7,577 "
2025,July,"$675,549 ","$2,496,205 ","$3,866,443 ","$5,944,138 ","$1,738,308 ",62%,20%,18%,"$123,339 ","$1,480,068 ",91%,85%,29%,28%,12%,8%,13%,82%,61%,91%,98%,78%,96%,94%,60%,72%,87%,"$1,457 ","$4,424 ","$2,365 ","$3,993 ","$1,835 ","$2,169 ","$3,151 ","$2,149 ","$1,728 ","$1,591 ","$1,999 ","$2,596 ","$4,466 ","$1,675 ","$4,974 ","$2,323 ","$2,763 ","$6,288 ","$10,380 ","$13,643 ","$11,187 ","$10,824 "
2025,August,"$1,334,356 ","$2,480,492 ","$4,949,576 ","$5,584,135 ","$1,994,797 ",58%,22%,20%,"$115,744 ","$1,388,928 ",95%,99%,34%,30%,25%,11%,13%,88%,87%,78%,95%,94%,57%,79%,90%,69%,97%,"$3,653 ","$4,935 ","$4,555 ","$1,726 ","$3,187 ","$2,452 ","$4,013 ","$2,334 ","$4,332 ","$1,602 ","$3,960 ","$1,581 ","$2,383 ",$930 ,"$1,528 ","$1,696 ","$2,475 ","$14,064 ","$14,900 ","$14,195 ","$3,601 ","$12,874 "
2025,September,"$644,408 ","$1,064,514 ","$4,424,620 ","$6,329,031 ","$1,602,709 ",56%,21%,24%,"$92,201 ","$1,106,412 ",96%,82%,23%,15%,10%,14%,9%,74%,77%,75%,96%,96%,70%,86%,61%,68%,74%,"$2,514 ","$2,501 ","$4,882 ","$3,067 ","$1,569 ","$2,169 ","$4,273 ","$4,411 ","$2,257 ","$3,751 ","$3,424 ","$2,493 ","$4,338 ","$1,401 ","$3,661 ","$3,265 ","$2,428 ","$9,962 ","$3,365 ","$12,047 ","$9,615 ","$13,503 "
2025,October,"$948,478 ","$2,931,260 ","$3,144,630 ","$4,174,690 ","$969,370 ",59%,25%,15%,"$140,945 ","$1,691,340 ",93%,77%,40%,22%,13%,12%,11%,62%,75%,75%,82%,90%,61%,79%,89%,98%,90%,"$1,869 ","$2,453 ","$3,164 ","$3,834 ","$2,332 ","$1,731 ","$3,752 ","$3,967 ","$2,377 ","$4,143 ","$2,877 ","$4,602 ","$1,355 ",$981 ,"$3,101 ","$3,187 ","$4,938 ","$10,226 ","$12,802 ","$12,861 ","$7,442 ","$3,024 "
2025,November,"$559,196 ","$2,855,961 ","$4,166,605 ","$4,158,744 ","$529,442 ",68%,17%,15%,"$149,317 ","$1,791,804 ",98%,94%,30%,29%,20%,14%,8%,79%,83%,67%,63%,63%,100%,91%,89%,61%,88%,"$2,139 ","$1,269 ","$1,550 ","$4,877 ","$1,439 ","$3,375 ","$3,972 ","$3,394 ","$4,904 ","$4,442 ","$4,253 ","$4,536 ","$4,216 ","$3,763 ","$4,091 ",$863 ,"$1,250 ","$6,643 ","$4,154 ","$8,172 ","$8,301 ","$7,054 "
